"","Resultado_partida","P_time1","P_time2","NV_time1","NV_time2","NE_time1","NE_time2","ND_time1","ND_time2","NVC_time1","NEC_time1","NDC_time1","NVF_time1","NEF_time1","NDF_time1","NVC_time2","NEC_time2","NDC_time2","NVF_time2","NEF_time2","NDF_time2","GF_time1","GF_time2","GC_time1","GC_time2","SG_time1","SG_time2"
"341",2,36,45,9,12,9,9,16,13,8,3,6,1,6,10,6,5,6,6,4,7,32,38,44,39,-12,-1
"342",2,58,45,17,12,7,9,10,13,9,3,5,8,4,5,9,6,2,3,3,11,50,45,30,46,20,-1
"343",1,54,35,15,8,9,11,10,15,9,6,2,6,3,8,3,9,5,5,2,10,42,23,33,44,9,-21
"344",1,49,46,13,12,10,10,11,12,7,6,4,6,4,7,5,4,8,7,6,4,35,42,42,43,-7,-1
"345",2,68,43,20,10,8,13,6,11,11,4,2,9,4,4,6,6,5,4,7,6,45,45,23,47,22,-2
"346",0,51,30,14,8,9,6,11,20,9,2,6,5,7,5,4,3,10,4,3,10,42,33,36,52,6,-19
"347",2,57,36,17,9,6,9,11,16,10,3,4,7,3,7,5,7,5,4,2,11,53,41,39,52,14,-11
"348",2,44,39,12,10,8,9,14,15,7,3,7,5,5,7,3,4,10,7,5,5,41,44,46,51,-5,-7
"349",2,40,50,10,13,10,11,14,10,6,5,6,4,5,8,9,6,2,4,5,8,39,43,44,34,-5,9
"350",2,46,56,12,15,10,11,12,8,9,4,4,3,6,8,11,3,3,4,8,5,46,37,44,27,2,10
"351",2,43,39,10,10,13,9,12,16,6,6,5,4,7,7,9,3,6,1,6,10,46,34,50,45,-4,-11
"352",2,50,71,13,21,11,8,11,6,9,6,2,4,5,9,12,4,2,9,4,4,43,48,35,24,8,24
"353",1,45,51,12,14,9,9,14,12,9,6,2,3,3,12,9,2,7,5,7,5,45,43,47,38,-2,5
"354",1,39,55,10,15,9,10,16,10,3,4,10,7,5,6,9,7,2,6,3,8,45,44,53,35,-8,9
"355",1,33,47,9,13,6,8,20,14,4,3,10,5,3,10,8,3,7,5,5,7,35,43,53,47,-18,-4
"356",2,36,49,9,13,9,10,17,12,5,7,5,4,2,12,10,4,4,3,6,8,42,49,57,45,-15,4
"357",2,47,43,12,11,11,10,12,14,5,4,8,7,7,4,7,5,6,4,5,8,43,40,44,44,-1,-4
"358",2,56,61,15,18,11,7,9,10,11,3,3,4,8,6,10,3,5,8,4,5,38,51,30,30,8,21
"359",2,45,50,12,13,9,11,14,11,6,5,6,6,4,8,7,7,4,6,4,7,39,36,41,43,-2,-7
"360",2,36,60,8,18,12,6,15,11,3,9,5,5,3,10,11,3,4,7,3,7,25,58,46,40,-21,18
"361",0,46,39,11,10,13,9,12,17,7,6,5,4,7,7,6,7,5,4,2,12,48,43,50,57,-2,-14
